Peripheral Nervous System Organ Crosswalk,,,,,,,,,,,,
,,,,,,,,,,,,
Author Name(s):,Katherine S Gustilo; Ilias Ziogas; Fahim Imam,,,,,,,,,,,
Author ORCID(s):,0000-0002-5574-4272; 0000-0002-9210-2455; 0000-0003-4752-543X,,,,,,,,,,,
Reviewer(s):,Griffin Weber,,,,,,,,,,,
Reviewer ORCID(s):,0000-0002-2597-881X,,,,,,,,,,,
General Publication(s):,"Netter FH. Atlas of human anatomy. Philadelphia, PA: Saunders/Elsevier. 2006.; Gray H. Gray's Anatomy: The Anatomical Basis of Clinical Practice (40th ed.). Churchill-Livingstone, Elsevier. 2008.",,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM446.ZZZN.837,,,,,,,,,,,
Date:,"June 15, 2024",,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,
Nerve,NerveID,Relationship,BodySubPart,BodySubPartID,BodySubPartSequence,BodyPart,BodyPartID,FTU,FTULabel,FTUID,Angiosome,AngiosomeID
branch of musculocutaneous nerve to short head of biceps brachii,FMA:81240,innervates,short head of biceps brachii muscle,FMA:37682,999,muscular system,UBERON:0000383,,,,,
posterior ramus of fourth cervical nerve,FMA:8789,innervates,splenius capitis,UBERON:0000711,999,muscular system,UBERON:0000383,,,,,
posterior ramus of third cervical nerve,FMA:8792,innervates,splenius capitis,UBERON:0000711,999,muscular system,UBERON:0000383,,,,,
nerve to subclavius,FMA:78594,innervates,subclavius muscle,UBERON:0008779,999,muscular system,UBERON:0000383,,,,,
brachial nerve plexus,UBERON:0001814,innervates,subclavius muscle,FMA:13410,999,muscular system,UBERON:0000383,,,,,
nerve to subclavius,FMA:65280,innervates,subclavius muscle,FMA:13410,999,muscular system,UBERON:0000383,,,,,
inferior subscapular nerve,FMA:65307,innervates,subscapularis muscle,UBERON:0001129,999,muscular system,UBERON:0000383,,,,,
subscapularis branch of inferior subscapular nerve,FMA:81297,innervates,subscapularis muscle,UBERON:0001129,999,muscular system,UBERON:0000383,,,,,
subscapularis branch of superior subscapular nerve (1),FMA:81278,innervates,subscapularis muscle,UBERON:0001129,999,muscular system,UBERON:0000383,,,,,
subscapularis branch of superior subscapular nerve (2),FMA:81281,innervates,subscapularis muscle,UBERON:0001129,999,muscular system,UBERON:0000383,,,,,
superior subscapular nerve,FMA:65304,innervates,subscapularis muscle,UBERON:0001129,999,muscular system,UBERON:0000383,,,,,
branch of posterior interosseous nerve,FMA:80285,innervates,supinator muscle,UBERON:0003228,999,muscular system,UBERON:0000383,,,,,
nerve to supinator,FMA:80298,innervates,supinator muscle,UBERON:0003228,999,muscular system,UBERON:0000383,,,,,
radial nerve,UBERON:0001492,innervates,supinator muscle,UBERON:0003228,999,muscular system,UBERON:0000383,,,,,
nerve to supraspinatus,FMA:81304,innervates,supraspinatus muscle,UBERON:0002383,999,muscular system,UBERON:0000383,,,,,
